legal_cat,age,elig_phat,elig_phat_SE,elig_count,elig_count_se,years,rec_phat,rec_phat_SE,rec_count,rec_count_se,time,year_n,incidence,tminus10,tminus8,tminus6,tminus4,tminus2,t0,t2,t4,t6,tlt4,tgt4,tlt6,tgt6,legal,effective,legal_wave
Legalized_2012,12_20,0.729,0.0153,1024000,59000,2008 to 2009,0.064,0.0072,89000,10000,-4,2008,0.0869140625,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Legalized_2012,21_Plus,0.461,0.0172,3746000,194000,2008 to 2009,0.001,0.0006,10000,5000,-4,2008,0.0026695141,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Legalized_2012,Overall,0.5,0.0155,4770000,217000,2008 to 2009,0.01,0.0011,100000,10000,-4,2008,0.0209643606,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Legalized_2014,12_20,0.719,0.0177,441000,24000,2008 to 2009,0.063,0.0072,39000,5000,-6,2008,0.0884353741,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
Legalized_2014,21_Plus,0.425,0.0179,1542000,93000,2008 to 2009,0.002,0.0007,6000,2000,-6,2008,0.0038910506,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
Legalized_2014,Overall,0.468,0.0156,1983000,97000,2008 to 2009,0.011,0.0014,45000,6000,-6,2008,0.0226928896,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
Legalized_2016,12_20,0.768,0.0083,4668000,155000,2008 to 2009,0.055,0.004,337000,26000,-8,2008,0.072193659,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3
Legalized_2016,21_Plus,0.55,0.0111,17999000,642000,2008 to 2009,0.003,0.0006,102000,19000,-8,2008,0.0056669815,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3
Legalized_2016,Overall,0.584,0.0096,22667000,711000,2008 to 2009,0.011,0.0008,439000,33000,-8,2008,0.0193673622,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3
Legalized_2018,12_20,0.754,0.009,1040000,30000,2008 to 2009,0.058,0.0042,81000,6000,-10,2008,0.0778846154,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
Legalized_2018,21_Plus,0.494,0.0102,3701000,131000,2008 to 2009,0.001,0.0004,11000,3000,-10,2008,0.0029721697,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
Legalized_2018,Overall,0.535,0.0087,4741000,138000,2008 to 2009,0.01,0.0008,92000,7000,-10,2008,0.0194051888,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
Illegal,12_20,0.785,0.0028,22503000,246000,2008 to 2009,0.049,0.0013,1417000,42000,0,2008,0.0629693819,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,21_Plus,0.575,0.0035,92439000,1067000,2008 to 2009,0.001,0.0001,205000,22000,0,2008,0.0022176787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,Overall,0.607,0.003,114942000,1135000,2008 to 2009,0.009,0.0002,1622000,48000,0,2008,0.0141114649,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Legalized_2012,12_20,0.741,0.0158,1006000,54000,2010 to 2011,0.067,0.0073,91000,11000,-2,2010,0.0904572565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Legalized_2012,21_Plus,0.456,0.0181,3849000,262000,2010 to 2011,0.003,0.0009,21000,8000,-2,2010,0.0054559626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Legalized_2012,Overall,0.496,0.016,4855000,288000,2010 to 2011,0.011,0.0012,112000,13000,-2,2010,0.023069001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Legalized_2014,12_20,0.73,0.0196,421000,28000,2010 to 2011,0.058,0.0065,34000,4000,-4,2010,0.080760095,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Legalized_2014,21_Plus,0.455,0.0186,1709000,119000,2010 to 2011,0.004,0.0011,14000,4000,-4,2010,0.0081919251,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Legalized_2014,Overall,0.491,0.0158,2130000,127000,2010 to 2011,0.011,0.0014,48000,6000,-4,2010,0.0225352113,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Legalized_2016,12_20,0.749,0.0082,4635000,155000,2010 to 2011,0.069,0.0044,429000,30000,-6,2010,0.0925566343,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
Legalized_2016,21_Plus,0.555,0.0104,18556000,614000,2010 to 2011,0.004,0.0009,125000,31000,-6,2010,0.0067363656,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
Legalized_2016,Overall,0.585,0.0089,23191000,666000,2010 to 2011,0.014,0.0011,554000,44000,-6,2010,0.0238885775,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
Legalized_2018,12_20,0.763,0.0081,1032000,28000,2010 to 2011,0.055,0.0048,74000,7000,-8,2010,0.0717054264,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4
Legalized_2018,21_Plus,0.48,0.0125,3597000,138000,2010 to 2011,0.003,0.0006,19000,5000,-8,2010,0.0052821796,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4
Legalized_2018,Overall,0.524,0.0107,4629000,143000,2010 to 2011,0.011,0.001,94000,8000,-8,2010,0.0203067617,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4
Illegal,12_20,0.782,0.0032,22499000,284000,2010 to 2011,0.049,0.0014,1418000,45000,0,2010,0.0630250233,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,21_Plus,0.569,0.0037,93533000,1138000,2010 to 2011,0.002,0.0002,305000,30000,0,2010,0.0032608812,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,Overall,0.601,0.0032,116032000,1240000,2010 to 2011,0.009,0.0003,1723000,55000,0,2010,0.0148493519,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Legalized_2012,12_20,0.729,0.0141,1062000,52000,2012 to 2013,0.057,0.0058,83000,9000,0,2012,0.0781544256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Legalized_2012,21_Plus,0.441,0.016,3796000,249000,2012 to 2013,0.003,0.0016,29000,14000,0,2012,0.0076396207,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Legalized_2012,Overall,0.483,0.0139,4857000,273000,2012 to 2013,0.011,0.0016,112000,17000,0,2012,0.0230595018,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Legalized_2014,12_20,0.734,0.0159,452000,25000,2012 to 2013,0.057,0.0098,35000,6000,-2,2012,0.0774336283,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Legalized_2014,21_Plus,0.369,0.0166,1410000,87000,2012 to 2013,0.006,0.0026,22000,10000,-2,2012,0.0156028369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Legalized_2014,Overall,0.42,0.0147,1862000,91000,2012 to 2013,0.013,0.0026,57000,11000,-2,2012,0.0306122449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Legalized_2016,12_20,0.751,0.009,4687000,177000,2012 to 2013,0.053,0.004,334000,29000,-4,2012,0.0712609345,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
Legalized_2016,21_Plus,0.531,0.0101,18311000,612000,2012 to 2013,0.003,0.0005,94000,18000,-4,2012,0.0051335263,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
Legalized_2016,Overall,0.565,0.0089,22998000,682000,2012 to 2013,0.011,0.0008,428000,34000,-4,2012,0.0186103139,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
Legalized_2018,12_20,0.754,0.0091,993000,36000,2012 to 2013,0.059,0.005,78000,7000,-6,2012,0.0785498489,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
Legalized_2018,21_Plus,0.466,0.0112,3525000,130000,2012 to 2013,0.002,0.0005,17000,4000,-6,2012,0.004822695,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
Legalized_2018,Overall,0.509,0.0096,4518000,140000,2012 to 2013,0.011,0.0009,95000,8000,-6,2012,0.0210270031,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
Illegal,12_20,0.788,0.0031,22480000,250000,2012 to 2013,0.048,0.0014,1371000,43000,0,2012,0.0609875445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,21_Plus,0.557,0.0037,93984000,1060000,2012 to 2013,0.002,0.0002,337000,28000,0,2012,0.0035857167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,Overall,0.591,0.0032,116464000,1146000,2012 to 2013,0.009,0.0003,1708000,51000,0,2012,0.014665476,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Legalized_2012,12_20,0.744,0.0177,1105000,55000,2014 to 2015,0.065,0.0081,97000,13000,2,2014,0.0877828054,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Legalized_2012,21_Plus,0.431,0.0136,3847000,183000,2014 to 2015,0.005,0.0011,42000,10000,2,2014,0.0109175981,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Legalized_2012,Overall,0.476,0.012,4952000,195000,2014 to 2015,0.013,0.0015,139000,16000,2,2014,0.0280694669,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Legalized_2014,12_20,0.724,0.0181,422000,23000,2014 to 2015,0.067,0.0107,39000,7000,0,2014,0.0924170616,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
Legalized_2014,21_Plus,0.428,0.016,1695000,101000,2014 to 2015,0.007,0.0028,29000,11000,0,2014,0.0171091445,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
Legalized_2014,Overall,0.466,0.0133,2117000,103000,2014 to 2015,0.015,0.0028,68000,13000,0,2014,0.0321209258,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
Legalized_2016,12_20,0.758,0.0095,4625000,152000,2014 to 2015,0.054,0.0044,331000,30000,-2,2014,0.0715675676,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Legalized_2016,21_Plus,0.516,0.0094,18368000,521000,2014 to 2015,0.003,0.0006,103000,20000,-2,2014,0.0056075784,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Legalized_2016,Overall,0.551,0.0083,22992000,546000,2014 to 2015,0.01,0.0008,433000,35000,-2,2014,0.0188326374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Legalized_2018,12_20,0.785,0.0103,984000,36000,2014 to 2015,0.054,0.0066,68000,9000,-4,2014,0.0691056911,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
Legalized_2018,21_Plus,0.461,0.0101,3534000,124000,2014 to 2015,0.003,0.0008,24000,6000,-4,2014,0.0067911715,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
Legalized_2018,Overall,0.506,0.0089,4518000,135000,2014 to 2015,0.01,0.0012,92000,11000,-4,2014,0.0203629925,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
Illegal,12_20,0.795,0.0032,22681000,225000,2014 to 2015,0.049,0.0015,1388000,45000,0,2014,0.0611965963,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,21_Plus,0.546,0.003,94131000,877000,2014 to 2015,0.003,0.0002,467000,34000,0,2014,0.0049611711,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,Overall,0.582,0.0026,116812000,947000,2014 to 2015,0.009,0.0003,1856000,57000,0,2014,0.0158887786,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Legalized_2012,12_20,0.768,0.0174,1094000,52000,2016 to 2017,0.072,0.0084,103000,14000,4,2016,0.0941499086,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
Legalized_2012,21_Plus,0.415,0.016,3879000,204000,2016 to 2017,0.009,0.0019,80000,18000,4,2016,0.0206238721,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
Legalized_2012,Overall,0.461,0.0142,4973000,214000,2016 to 2017,0.017,0.002,183000,22000,4,2016,0.0367987131,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
Legalized_2014,12_20,0.768,0.0217,444000,23000,2016 to 2017,0.068,0.0086,39000,5000,2,2016,0.0878378378,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
Legalized_2014,21_Plus,0.372,0.0167,1522000,83000,2016 to 2017,0.008,0.0015,33000,6000,2,2016,0.0216819974,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
